Lot,Bedroom,Units,Electric,Internet,FiberOpt,HeatFuel,Rooms,Water,Built,Tenure,JuniorMtg,FamEmp,Lang,Family,HHpresence,Move,Npersons,Nchild,Under18,Over60,Over65,Workers,WkExp,WkStatus,Vehicles,BroadBND,HiWorth
1,2,1,70,1,2,3,5,150,5,2,,,3,4,4,4,,0,0,1,1,,,,2,2,0
1,3,2,240,1,2,1,6,1500,3,1,3,1,1,1,2,3,4,2,1,0,0,2,2,1,3,2,0
1,4,2,130,1,1,1,6,610,13,1,3,2,1,1,1,1,3,1,1,0,0,1,7,3,3,1,0
1,3,2,60,1,2,3,5,1200,7,1,3,,4,5,2,6,,0,1,0,0,,,,3,1,0
1,2,1,80,1,2,1,6,1200,15,1,3,,1,6,4,3,,0,0,1,1,,,,1,2,0
1,2,2,40,3,,1,5,600,6,1,3,,1,6,4,6,,0,0,1,1,,,,1,,0
1,4,2,190,1,2,3,8,600,8,1,3,1,1,1,4,4,2,0,0,1,0,2,5,2,3,2,1
1,4,2,130,1,2,1,7,600,4,1,3,5,2,2,2,1,2,1,1,0,0,1,10,10,4,1,1
1,4,2,40,1,2,1,5,560,2,1,3,1,4,1,2,4,7,2,1,2,2,3,1,1,4,1,1
1,3,2,250,1,1,3,5,100,7,2,,7,4,3,4,5,3,0,0,2,2,1,13,13,3,2,0
1,4,2,40,1,1,1,8,1000,7,1,3,5,1,2,2,2,3,1,1,0,0,1,10,10,2,1,0
1,4,2,260,1,2,1,7,1300,5,2,,4,1,1,4,7,2,0,0,2,2,0,9,9,2,1,0
1,3,2,50,1,1,1,5,480,3,1,3,1,4,1,4,4,2,0,0,0,0,2,2,1,3,1,0
1,2,3,40,1,2,3,3,50,6,2,,,2,6,4,4,,0,0,0,0,,,,2,1,0
1,3,2,30,1,2,1,4,350,3,1,3,,1,4,4,4,,0,0,1,0,,,,2,2,0
1,5,2,140,1,2,1,14,170,4,2,,1,4,1,2,5,3,1,1,0,0,2,1,1,3,1,1
1,4,2,30,1,2,3,7,50,4,1,3,2,4,1,4,3,3,0,0,2,1,2,3,3,2,1,1
1,3,2,250,1,2,3,5,550,6,1,3,2,1,1,4,7,3,0,0,2,1,1,7,3,2,2,0
1,4,2,150,1,2,1,7,600,6,2,,4,1,1,4,6,2,0,0,2,2,0,9,9,2,1,1
1,4,2,100,1,1,1,7,1000,5,1,2,1,1,1,4,7,2,0,0,2,2,2,1,1,2,1,1
1,3,2,70,3,,3,5,840,3,1,3,2,2,1,3,3,5,3,1,0,0,1,7,3,2,,0
1,4,2,640,1,2,1,7,1,4,1,3,2,2,1,3,4,8,3,1,2,1,2,3,3,3,2,0
1,4,2,150,3,,1,9,200,1,2,,,1,6,4,7,,0,0,1,1,,,,1,,0
1,4,2,460,1,2,1,8,1700,5,1,1,2,1,1,4,1,2,0,0,0,0,1,6,3,2,1,0
1,3,2,70,1,2,1,5,1000,5,1,3,2,2,1,3,3,6,4,1,0,0,1,6,3,2,2,0
1,4,2,100,1,2,1,5,120,3,1,3,1,2,1,4,4,3,0,0,1,1,2,1,1,2,1,0
1,3,3,110,1,2,1,8,480,4,1,3,2,4,1,2,5,4,2,1,0,0,1,3,3,4,1,0
2,3,2,30,1,2,1,8,2,7,1,2,1,1,1,4,6,2,0,0,2,1,2,5,1,4,1,1
1,4,2,350,1,2,1,9,450,8,1,2,1,1,1,2,5,4,2,1,0,0,2,1,1,2,1,0
1,2,2,20,3,,9,5,2000,3,2,,4,2,1,4,7,3,0,0,2,2,1,9,9,3,,0
1,2,2,80,1,2,1,6,1300,1,1,2,1,1,1,3,5,4,2,1,0,0,2,1,1,3,1,0
1,5,2,300,1,2,3,9,300,8,1,3,2,1,1,3,5,6,4,1,0,0,1,3,3,2,1,0
1,3,2,70,3,,3,6,840,3,2,,,5,6,4,7,,0,0,1,1,,,,1,,0
2,7,2,240,1,2,1,9,2700,7,2,,4,3,1,4,5,4,0,0,0,0,1,9,9,6,1,1
2,3,2,320,1,2,3,9,1800,5,1,2,4,2,1,4,3,2,0,0,2,1,0,9,9,2,1,0
1,4,3,2,1,1,1,7,840,7,1,3,1,2,1,2,4,6,2,1,0,0,3,2,1,3,2,0
1,3,1,160,2,,3,6,300,7,2,,2,2,1,2,6,3,1,1,1,1,0,9,6,2,,0
1,7,2,300,1,2,1,9,1200,3,1,3,2,1,1,2,5,5,3,1,0,0,1,3,3,3,1,0
1,4,2,120,1,2,1,9,1200,6,1,2,1,3,1,4,6,3,0,0,0,0,2,1,1,4,1,0
1,2,2,140,1,2,1,5,1800,3,1,3,2,2,1,2,5,3,1,1,0,0,1,3,3,2,1,0
1,4,2,150,1,1,1,9,1200,5,1,3,2,1,1,4,5,2,0,0,2,1,1,7,3,2,1,0
2,2,2,100,1,2,3,5,110,6,1,3,3,1,1,4,6,3,0,0,2,2,2,6,7,3,1,0
1,3,2,70,1,1,1,6,30,4,1,3,,1,7,4,4,,0,0,2,2,,,,2,2,0
1,2,2,300,3,,1,4,1100,6,1,3,,2,7,4,3,,0,0,0,0,,,,3,,0
1,3,3,40,1,2,3,5,480,6,2,,4,4,1,4,5,2,0,0,2,2,0,9,9,2,1,0
1,3,2,90,1,2,1,10,70,7,1,3,1,1,1,4,5,4,0,0,0,0,2,5,1,3,1,0
1,4,2,4,1,2,1,8,1500,7,1,3,7,3,3,2,5,3,1,1,0,0,1,13,13,2,2,0
3,3,2,4,1,2,3,11,2,4,2,,,1,6,4,7,,0,0,1,1,,,,0,1,0
1,4,2,150,1,2,1,7,480,6,2,,,1,4,4,6,,0,0,1,0,,,,2,1,0
1,5,2,130,1,1,3,7,750,7,1,3,1,4,1,3,5,6,4,1,0,0,2,4,1,2,1,0
1,3,3,80,1,2,1,4,220,7,1,3,,2,6,4,4,,0,0,0,0,,,,1,1,0
1,3,2,30,1,2,3,6,620,2,2,,4,2,1,4,7,3,0,0,2,2,1,9,9,2,2,0
1,4,2,110,1,2,1,9,660,7,2,,4,1,1,4,6,2,0,0,2,0,0,9,9,2,2,1
1,4,2,90,1,2,1,5,80,4,2,,3,4,1,4,5,2,0,0,2,2,1,7,7,2,2,0
1,5,2,100,3,,1,8,1500,5,1,3,,2,1,4,4,2,0,0,0,0,1,3,,2,,0
1,0,2,250,3,,1,1,2,4,1,3,7,2,3,1,6,3,1,1,0,0,2,14,13,6,,0
1,4,2,100,1,2,3,7,1100,3,1,3,1,1,1,4,1,2,0,0,0,0,2,1,1,2,2,1
1,4,2,140,1,2,1,7,110,4,1,3,8,4,3,2,5,3,1,1,1,0,0,15,15,3,1,0
2,2,3,20,1,2,1,5,600,3,1,3,7,2,3,4,5,3,0,0,0,0,3,14,13,2,1,0
2,2,3,130,1,2,1,4,40,6,1,3,3,1,1,4,4,2,0,0,1,1,1,8,7,2,2,0
1,3,2,300,1,2,3,7,2,1,1,3,1,2,1,1,3,4,1,1,0,0,2,1,1,3,1,0
1,2,2,200,1,1,9,4,2200,1,1,3,2,2,1,4,6,4,0,0,0,0,2,3,3,3,1,0
1,3,2,70,1,2,1,7,500,3,1,3,4,2,1,1,7,7,2,1,2,0,3,9,9,6,2,0
1,3,2,380,1,1,1,5,450,6,1,2,4,2,1,2,3,3,1,1,0,0,1,8,9,2,2,0
1,3,2,200,1,2,1,7,1500,3,1,3,1,1,1,4,2,3,0,0,0,0,2,1,1,3,1,1
1,3,2,200,1,2,3,8,1500,3,1,3,8,4,3,3,4,8,2,1,1,1,3,15,15,5,1,1
1,3,2,200,1,2,1,14,110,3,1,3,5,2,2,2,5,4,2,1,1,1,1,10,10,3,2,0
2,3,2,100,1,2,1,5,1200,5,2,,1,1,1,2,5,4,2,1,0,0,2,1,1,2,2,0
3,2,2,110,1,2,1,9,850,1,1,3,3,1,1,4,5,2,0,0,0,0,1,3,7,6,2,0
1,4,2,30,1,2,1,6,1400,3,1,3,2,2,1,3,4,5,3,1,0,0,1,3,3,2,2,0
1,3,2,30,1,2,1,8,350,1,1,3,1,1,1,4,1,2,0,0,0,0,2,1,1,2,2,1
1,4,2,250,1,2,1,9,1200,6,1,3,1,1,1,2,4,4,2,1,0,0,2,4,1,4,1,0
1,3,2,60,3,,1,5,720,1,1,3,4,1,1,4,7,2,0,0,2,2,0,9,9,1,,0
1,5,2,130,1,1,3,8,1500,5,1,3,5,4,2,4,5,3,0,0,1,0,3,10,10,4,1,1
1,3,2,100,1,2,1,7,1500,5,1,3,1,1,1,4,3,3,0,0,0,0,3,1,1,4,2,0
1,3,2,100,1,2,1,5,50,7,2,,,1,6,4,4,,0,0,1,1,,,,1,2,0
